Current (A) ,Voltage (V) ,Sheet Resistance (Ohm/sq)
-0.019956   ,-0.50365    ,       114.37872319102024
-0.019165   ,-0.48386    ,       114.41969840855727
-0.018359   ,-0.46362    ,       114.44663870581186
-0.01757    ,-0.44388    ,       114.49426067159932
-0.016777   ,-0.42395    ,       114.52234606902307
-0.015989   ,-0.40421    ,       114.57125023453625
-0.015192   ,-0.38422    ,       114.61855186940495
-0.014404   ,-0.36449    ,       114.6812468758678
-0.013599   ,-0.34426    ,       114.72801823663504
-0.012811   ,-0.32458    ,       114.82293029427835
-0.012015   ,-0.30464    ,       114.9087374115689
-0.011224   ,-0.28483    ,       115.00797933000715
-0.010427   ,-0.26488    ,       115.12766471660113
-0.0096366  ,-0.24506    ,       115.24935350642343
-0.0088287  ,-0.22486    ,       115.42645236558045
-0.0080356  ,-0.20498    ,       115.60672009557469
-0.0072426  ,-0.18515    ,       115.85615662883497
-0.0064488  ,-0.16526    ,       116.13917628085844
-0.0056557  ,-0.14537    ,       116.48723234966495
-0.0048603  ,-0.12548    ,       117.00416846696707
-0.0040565  ,-0.10538    ,       117.73256748428447
-0.0032619  ,-0.085486   ,       118.77205064532943
-0.0024707  ,-0.065726   ,       120.56106852309063
-0.0016746  ,-0.045742   ,       123.79239460169592
-0.00088404 ,-0.025993   ,       133.25220125786163
-8.8938e-05 ,-0.0061064  ,       311.16288650520585
0.0007029   ,0.013679    ,        88.19636932707355
0.0015142   ,0.034005    ,       101.77695152555805
0.0023053   ,0.053838    ,       105.84037478853077
0.0030985   ,0.073725    ,       107.83337098596094
0.0038901   ,0.093459    ,       108.88053983188092
0.0046842   ,0.11332     ,       109.63798300670338
0.0054774   ,0.13319     ,       110.2013875196261
0.0062817   ,0.15337     ,       110.65043539169334
0.0070735   ,0.17318     ,       110.95663532904503
0.007867    ,0.19306     ,       111.21748061522817
0.0086626   ,0.21296     ,       111.41397732782306
0.0094533   ,0.23276     ,       111.58731025144658
0.010248    ,0.2527      ,       111.75218579234972
0.011039    ,0.27242     ,       111.84051453936044
0.011847    ,0.29269     ,       111.96683379758589
0.012638    ,0.31246     ,       112.04848235480299
0.013433    ,0.33241     ,       112.14785379289808
0.014221    ,0.35215     ,       112.22444272554674
0.015014    ,0.37198     ,       112.28276009058212
0.015806    ,0.39182     ,       112.34520055675058
0.016612    ,0.41203     ,       112.40789549723092
0.017403    ,0.43183     ,       112.45495374360743
0.018196    ,0.45171     ,       112.50548032534623
0.018989    ,0.47158     ,       112.54940017905103
0.01978     ,0.49133     ,       112.5736885743175
