Current (A),Voltage (V),Sheet Resistance (Ohm/sq),Conductivity (S/m)
-0.018794,-0.50628,122.0847589656273,8191.030628823602
-0.018051,-0.48643,122.12624009750151,8188.2484812570465
-0.017294,-0.46624,122.18108476928414,8184.572938506078
-0.016552,-0.44649,122.25064523924601,8179.915926357589
-0.015808,-0.42657,122.29347419028342,8177.051200982669
-0.015066,-0.40682,122.37543077127307,8171.574912525205
-0.014317,-0.38682,122.44661870503597,8166.824127736179
-0.013577,-0.36712,122.54458569639833,8160.295245336088
-0.012819,-0.34685,122.62455729776113,8154.973375942683
-0.012077,-0.32708,122.73963401506997,8147.327536248154
-0.011332,-0.30719,122.85431344864102,8139.722342089745
-0.010588,-0.28735,122.99491877597279,8130.417174561779
-0.0098397,-0.26745,123.18296289521022,8118.0057411890975
-0.0090965,-0.24761,123.36266915846753,8106.17998801107
-0.0083382,-0.22738,123.58616487971024,8091.520608098221
-0.0075918,-0.20751,123.87514423456886,8072.644485534636
-0.0068478,-0.18766,124.19683986097725,8051.734658622348
-0.0061028,-0.16779,124.60252343186734,8025.519648057529
-0.0053569,-0.14793,125.15050868972726,7990.37902817636
-0.0046074,-0.12793,125.83642835438641,7946.824405916493
-0.0038533,-0.10784,126.83437053953755,7884.298205179914
-0.0031073,-0.087939,128.259114987288,7796.716826707496
-0.0023647,-0.068148,130.6071535501332,7656.548457096209
-0.001615,-0.04815,135.1181424148607,7400.930638386405
-0.0008723,-0.028399,147.5458764186633,6777.55301789992
-0.00012575,-0.0085241,307.20653041749506,3255.139136010538
0.00061807,0.011298,82.84261653210802,12071.081791730003
0.0013789,0.031575,103.77685111320618,9636.060347496365
0.0021237,0.05141,109.70952582756509,9114.978781074495
0.0028706,0.071284,112.54061450567825,8885.68099963187
0.0036137,0.091085,114.23118133768713,8754.177172026497
0.0043593,0.11095,115.34544536966943,8669.609769116676
0.0051059,0.13084,116.13366497581231,8610.76760307422
0.0058632,0.15097,116.69328012007095,8569.473743227161
0.0066091,0.17087,117.169181885582,8534.667426256501
0.0073533,0.19073,117.5510804672732,8506.940098082765
0.0081005,0.21066,117.858295166965,8484.765527817462
0.0088438,0.23039,118.06321716909022,8470.038543569412
0.0095929,0.25037,118.28298429046481,8454.301402679552
0.010335,0.2701,118.44152878567972,8442.984570129138
0.011096,0.29047,118.63825162220621,8428.984634605187
0.01184,0.31023,118.74682094594596,8421.27807745863
0.012586,0.33008,118.85607500397266,8413.537128552965
0.013325,0.34986,118.99178386491558,8403.941579153412
0.014072,0.36974,119.07772029562251,8397.876592845401
0.014817,0.38955,119.14966592427616,8392.805739258518
0.015576,0.40976,119.2239548022599,8387.576151609466
0.016319,0.42962,119.31109994484957,8381.449843830462
0.017064,0.44947,119.3740060947023,8377.03309719434
0.017811,0.46931,119.4156936724496,8374.10870587029
0.018554,0.48918,119.48710574539182,8369.103877458061
